epoch,train_loss,val_loss,train_acc,val_acc,train_auc,val_auc,Recall,model_score
1,0.6992868823134553,0.6274525289200554,0.5912863070539419,0.743801652892562,0.6192028423104121,0.7925561029009305,0.7413793103448276,0.8815216201423098
2,0.5724385339936775,0.5897749286791509,0.7427385892116183,0.768595041322314,0.7941739535365033,0.7996715927750411,0.7068965517241379,0.8844991789819376
3,0.5724711974626755,0.5800138960076757,0.7323651452282157,0.743801652892562,0.7983649816319139,0.8002189381499727,0.7241379310344828,0.8871154898741106
4,0.48963420813385383,0.5886346072204842,0.7780082987551867,0.768595041322314,0.8214070126420725,0.8136288998357964,0.6896551724137931,0.8963875205254517
5,0.48495241692019203,0.5898645498659,0.7987551867219918,0.8016528925619835,0.8593332298511582,0.8207443897099069,0.6896551724137931,0.903503010399562
6,0.4363016802740295,0.5802248972198687,0.8008298755186722,0.8099173553719008,0.8715958676118039,0.8333333333333334,0.7241379310344828,0.9202298850574713
7,0.4184769260932796,0.6333948800817502,0.8153526970954357,0.7933884297520661,0.8729238888601439,0.8284072249589491,0.7241379310344828,0.915303776683087
8,0.3700753235841688,0.663719104987777,0.8672199170124482,0.8181818181818182,0.8983977509873924,0.8549534756431308,0.7758620689655172,0.9480569239189929
9,0.38093238263642143,0.8978516956067775,0.8423236514522822,0.7933884297520661,0.9149031579310464,0.8459222769567597,0.7586206896551724,0.9369567597153804
10,0.35948952584222144,0.7773576522907935,0.8672199170124482,0.8016528925619835,0.9169383073765544,0.8440065681444991,0.7586206896551724,0.9350410509031198
11,0.39714754159519783,0.7752437560919149,0.8692946058091287,0.768595041322314,0.9094358496748934,0.830049261083744,0.6379310344827587,0.906600985221675
12,0.3480967373830649,0.7592611131681637,0.8713692946058091,0.7851239669421488,0.9089701798865146,0.8445539135194307,0.7413793103448276,0.93351943076081
13,0.3214020657032357,0.7371791801145993,0.8713692946058091,0.7851239669421488,0.9220434280195235,0.8412698412698412,0.6551724137931034,0.9198905309250136
14,0.285644764490271,0.7677625953566191,0.9004149377593361,0.7768595041322314,0.9479829599351511,0.8347016967706623,0.7586206896551724,0.925736179529283
