epoch,train_loss,val_loss,train_acc,val_acc,train_auc,val_auc,Recall,model_score
1,0.683799463930961,0.6122896907743344,0.6120331950207469,0.7272727272727273,0.639312878356703,0.7865353037766831,0.8620689655172413,0.8899835796387521
2,0.5756605451779742,0.5637741315463358,0.7406639004149378,0.7603305785123967,0.7897759610907021,0.8095238095238095,0.8103448275862069,0.9067651888341544
3,0.5466992569414907,0.5265367782312976,0.7136929460580913,0.8016528925619835,0.7594556837584726,0.8492063492063492,0.8448275862068966,0.9505856595511768
4,0.5088459556280824,0.5512472731022795,0.7634854771784232,0.8099173553719008,0.8309101257308429,0.8639846743295019,0.896551724137931,0.9715708812260536
5,0.5141835566378233,0.5075394437332784,0.7883817427385892,0.8181818181818182,0.8506752211931494,0.8719211822660099,0.8793103448275862,0.9774384236453202
6,0.46318347789192593,0.5124673944366865,0.7842323651452282,0.8016528925619835,0.8273572377158036,0.8650793650793651,0.9137931034482759,0.9747345374931582
7,0.4215258718526215,0.5281119622474859,0.8278008298755186,0.8016528925619835,0.8797882064814336,0.8683634373289545,0.7241379310344828,0.9552599890530924
8,0.37828645938659605,0.6209872408100396,0.8526970954356846,0.8099173553719008,0.8875321225918836,0.8702791461412152,0.7931034482758621,0.9654515599343186
9,0.35174324722087236,0.6070885035124692,0.8609958506224067,0.8099173553719008,0.9053655507838776,0.8738368910782703,0.7931034482758621,0.9690093048713738
10,0.35265945995620673,0.647766905259495,0.8775933609958506,0.8099173553719008,0.91659336679257,0.8741105637657363,0.7758620689655172,0.9672140120415983
11,0.32110019179671634,0.6195983199541234,0.8941908713692946,0.8099173553719008,0.9330642796778255,0.8711001642036125,0.7068965517241379,0.955927750410509
