epoch,train_loss,val_loss,train_acc,val_acc,train_auc,val_auc,Recall
1,0.7041597801043575,0.6999737669650773,0.44360902255639095,0.5112781954887218,0.44187689915907,0.47964721845318864,0.34328358208955223
2,0.6820092134009627,0.6557327392406034,0.5676691729323309,0.7518796992481203,0.6414953006854639,0.819538670284939,0.8805970149253731
3,0.6586544244809258,0.63788142060875,0.6804511278195489,0.7894736842105263,0.7623065507737969,0.8505201266395296,0.9104477611940298
4,0.6477885779581571,0.6230447565702567,0.6954887218045113,0.7969924812030075,0.7679881280474877,0.8548168249660787,0.8805970149253731
5,0.6354429040636335,0.6079481710168652,0.7199248120300752,0.7969924812030075,0.7813016747933008,0.8609226594301221,0.8507462686567164
6,0.6146961455058334,0.591009469408738,0.7368421052631579,0.8120300751879699,0.8116458200833865,0.8740388964269562,0.9104477611940298
7,0.6134180780640222,0.586854100227356,0.7218045112781954,0.7894736842105263,0.8027135891456434,0.852329262777024,0.835820895522388
8,0.6006912562183868,0.5729670703859258,0.7180451127819549,0.8045112781954887,0.8057805102112926,0.8679330619629126,0.8507462686567164
9,0.5956606118750751,0.5626862116326067,0.7349624060150376,0.7969924812030075,0.810190092572963,0.8681592039800994,0.835820895522388
10,0.5881367814271969,0.5566238093196898,0.7537593984962406,0.7969924812030075,0.8192495230019079,0.8683853459972862,0.8805970149253731
11,0.570871276963026,0.5513555355986258,0.7537593984962406,0.8045112781954887,0.832124938166914,0.8715513342379014,0.835820895522388
12,0.5753237757467686,0.5428532498671597,0.7424812030075187,0.8120300751879699,0.8215815136739453,0.8717774762550882,0.835820895522388
13,0.5645884486069357,0.5369807013443538,0.7537593984962406,0.8195488721804511,0.8278990884036463,0.8726820443238353,0.8507462686567164
