,epoch,train_loss,val_loss,train_acc,val_acc,train_auc,val_auc,Recall
best_epoch,29.0,0.5750012724919427,0.5548304736166072,0.7838345864661654,0.8195488721804511,0.8661597603030131,0.881727725011307,0.7727272727272727
mean,18.5,0.6092346510542564,0.5971131490461012,0.7514097744360902,0.7888471177944862,0.8399631205205998,0.8529071812653903,0.8173400673400673
median,18.5,0.5994213729872739,0.5874830556095094,0.7725563909774437,0.7969924812030075,0.8566693990615637,0.8672546359113524,0.8181818181818182
