,epoch,train_loss,val_loss,train_acc,val_acc,train_auc,val_auc,Recall
best_epoch,15.0,0.46545327974088263,0.33722684347539916,0.7973484848484849,0.8721804511278195,0.8634785353535354,0.9439167797376753,0.8181818181818182
mean,11.5,0.5177002125124628,0.37610369545400596,0.7460399449035813,0.8526999316473,0.8173291479587866,0.9295259240985158,0.8381542699724517
median,11.5,0.5075298638054819,0.34860475176483163,0.7566287878787878,0.8571428571428571,0.8335903662890078,0.9407507914970601,0.8181818181818182
