fold,epoch,train_loss,val_loss,train_accuracy,val_accuracy,val_precision,val_recall,val_f1,val_iou,val_dice
1,1,0.7339288413524627,0.7003796696662903,0.45942186564207077,0.16516796874996736,0.15864537327194528,0.9999999999992386,0.27208086886573796,0.15864537327194528,0.2720808712009638
1,2,0.6385191023349762,0.7139120101928711,0.7144660532474518,0.16584765624996722,0.1587616838301093,0.9999999999992386,0.2722487131412112,0.1587616838301093,0.272248715477614
1,3,0.5787204265594482,0.6931994318962097,0.7605434417724609,0.5133691406248986,0.2408503724371231,0.9818907484097577,0.3840450103388813,0.23948708078690392,0.3840450134679193
1,4,0.5339870482683182,0.6292961597442627,0.7928268909454346,0.8250810546873368,0.4825010801703127,0.9362693862232311,0.6288632080637886,0.46575695397207356,0.6288632124750204
1,5,0.49666835367679596,0.5404113054275512,0.8175622284412384,0.8792099609373263,0.5938950426326394,0.8646106377074626,0.6950826996689469,0.5436043516594576,0.6950827044110806
1,6,0.4658846855163574,0.4676679491996765,0.8358952403068542,0.9018720703123219,0.6669107158741766,0.8099584837688614,0.7229230071563635,0.5791414474611326,0.7229230120295669
1,7,0.44076631367206576,0.4126956880092621,0.8512558400630951,0.9114697265623197,0.7082171743144775,0.781761469790086,0.7352230694981673,0.5948776300904495,0.7352230744136933
1,8,0.41918661892414094,0.37803915739059446,0.8637314200401306,0.9131347656248197,0.7116578520491469,0.7955962556288853,0.7426679079288102,0.6036839854868578,0.7426679128364825
1,9,0.400638085603714,0.3495303750038147,0.8707021296024322,0.9152587890623192,0.7193529734956621,0.7971695794653813,0.747869511527282,0.6106124848802411,0.7478695164394691
1,10,0.3859994292259216,0.32911568880081177,0.8766926109790802,0.9168515624998187,0.7260751038241932,0.7978046352198027,0.7517660243623605,0.6159747291556721,0.751766029275942
1,11,0.3728729099035263,0.31514320969581605,0.8796074032783509,0.9186669921873185,0.7357989973563536,0.796215000253176,0.7558472986613256,0.6212170295710315,0.7558473035758166
1,12,0.35986831188201907,0.3046947121620178,0.8865243971347809,0.9187246093748184,0.7309378352422684,0.8096092166221098,0.7591760909514592,0.6255709138147174,0.7591760958596454
1,13,0.35001215934753416,0.2934815287590027,0.8884799659252167,0.9216601562498179,0.7481694044731115,0.7967414652391308,0.7627304591621771,0.6307450317699793,0.7627304640805632
1,14,0.33944444060325624,0.2865001082420349,0.8924059867858887,0.9224345703123177,0.7476486103950055,0.807290532526969,0.767058692674754,0.6364655516960543,0.7670586975885588
1,15,0.33037865459918975,0.2776001036167145,0.8959555566310883,0.9251738281248171,0.7631937212337728,0.7981259770193757,0.7710042465308616,0.6421451560275868,0.7710042514506857
1,16,0.3219191551208496,0.2688122272491455,0.8985597908496856,0.9284267578123165,0.7876575727992698,0.7782352321456233,0.7737528574846788,0.6460862057536992,0.7737528624106648
1,17,0.3118003875017166,0.26013877987861633,0.9048950016498566,0.9305800781248161,0.7880521366429726,0.7981613283507777,0.7834428915761384,0.6593709873818463,0.7834428964984994
1,18,0.30580546259880065,0.2531963586807251,0.9058610618114471,0.9336796874998154,0.8064081102214138,0.7872604908352829,0.7878822365790633,0.6654441460060571,0.7878822415097875
1,19,0.292478209733963,0.24474723935127257,0.9141061782836915,0.9359775390623151,0.8150193068117366,0.7937858967987003,0.7951214869254203,0.6749921624536962,0.7951214918555367
1,20,0.28072924017906187,0.23752378225326537,0.9223071098327636,0.9385458984373146,0.8193012520249346,0.8111575451131883,0.8055792443530543,0.6899405308183154,0.8055792492808187
1,21,0.277266862988472,0.2296086370944977,0.9193671762943267,0.9411005859373139,0.8285843299769385,0.8124734181814265,0.8118519026608307,0.6987769133010276,0.8118519075973658
1,22,0.26602479070425034,0.2184266209602356,0.9284828841686249,0.9440341796873134,0.8411788673747126,0.8148508605249927,0.8197487767882626,0.7101576355842851,0.8197487817288294
1,23,0.2582907363772392,0.2112364113330841,0.9299208760261536,0.9470224609373128,0.8480300245859598,0.8276757176709422,0.8297048108945713,0.7252505566874652,0.8297048158363074
1,24,0.25124297440052035,0.206843763589859,0.9295527100563049,0.9473066406248127,0.8568296143176048,0.8149422608835475,0.828086218052432,0.7229525831577382,0.8280862229975829
1,25,0.24298027604818345,0.20149322152137755,0.9341532945632934,0.9482812499998126,0.8540880001245519,0.8283493644515709,0.8333765477484574,0.7308835137899842,0.8333765526927909
1,26,0.23729864060878753,0.19651998877525328,0.9357023656368255,0.9499003906248122,0.8545922312760618,0.8406385737328287,0.8396201334275052,0.7400763364169306,0.8396201383709923
1,27,0.23154139369726182,0.1928127646446228,0.9376225292682647,0.950988281249812,0.8559473975764457,0.8445088595848623,0.842832340488394,0.7453900553099193,0.8428323454361177
1,28,0.22399795800447464,0.1892688274383545,0.9401144862174988,0.951462890624812,0.8490333582849644,0.8605813849989835,0.8469175731099151,0.7519480002137894,0.8469175780536212
1,29,0.21805340349674224,0.18778876066207886,0.9416110575199127,0.9516953124998118,0.8452491015635498,0.8677091602780108,0.8485491795128592,0.7539492633583802,0.8485491844564129
1,30,0.21981922686100006,0.18392746448516845,0.9388173699378968,0.9521884765623116,0.848456469581569,0.8665323343355565,0.8496168869422417,0.7558002951173542,0.8496168918863057
1,31,0.21393414139747619,0.1785291165113449,0.9406137526035309,0.9519199218748117,0.8601045405187152,0.8453983722648204,0.8455148210666161,0.74961791791445,0.8455148260157681
1,32,0.21240632683038713,0.17515721917152405,0.9404763042926788,0.9529931640623117,0.8585545289898792,0.8540153827391479,0.8493966045425525,0.7560431479588712,0.8493966094938427
1,33,0.2084396466612816,0.1743438571691513,0.9424162387847901,0.9527011718748116,0.8586727944882122,0.8518444821661908,0.8484134839966881,0.7547438536732478,0.848413488948209
1,34,0.20427172482013703,0.17303265035152435,0.9418864548206329,0.9533642578123116,0.8554798330731098,0.8622658552291026,0.851733114699295,0.7602093231891227,0.851733119648515
1,35,0.20010724365711213,0.17059946656227112,0.944553691148758,0.9539882812498115,0.8483728459746737,0.8807499752647487,0.8563460795798203,0.7669213228292253,0.8563460845219565
1,36,0.19527198672294616,0.1668832093477249,0.9447385013103485,0.9543916015623112,0.8553694200033225,0.870813480608511,0.8556555162906433,0.7661828886746539,0.8556555212382311
1,37,0.19500891566276551,0.16755134463310242,0.9443242013454437,0.9541191406248115,0.8525280097286876,0.8771299741061916,0.8565949955266887,0.7667437188777686,0.8565950004689383
1,38,0.1912957563996315,0.16723893880844115,0.9456493973731994,0.9547568359373113,0.8452345155571784,0.8920994998466621,0.8601220088269899,0.7722161446438611,0.8601220137674388
1,39,0.18815671950578688,0.16414973735809327,0.9467204332351684,0.9552480468748112,0.8500342577735366,0.8876139639356986,0.8606564738837202,0.7733358304763676,0.8606564788268156
1,40,0.18760414123535157,0.16113597750663758,0.9474037885665894,0.9552255859373112,0.853282130805886,0.8819241888681524,0.8596512309806809,0.7723981605989562,0.859651235924957
1,41,0.1851157709956169,0.15829283595085145,0.9456965088844299,0.9553906249998111,0.8530094625964592,0.8818407350941283,0.8598479088298961,0.7730832948718835,0.8598479137765819
1,42,0.18335168808698654,0.15735786855220796,0.9478149235248565,0.9554199218748114,0.8542788755418933,0.879422703921357,0.8595535249020809,0.772734641484677,0.8595535298506581
1,43,0.18278051391243935,0.1568730890750885,0.9471083760261536,0.9551230468748111,0.8553303417567965,0.8771700054775178,0.8586840052404644,0.770813988358525,0.8586840101874104
1,44,0.17861319929361344,0.15586941242218016,0.9479770302772522,0.9553007812498112,0.8523146407391916,0.8841047879748323,0.8602721481679401,0.7733950133906372,0.8602721531123921
1,45,0.17479955703020095,0.15530202388763428,0.949621319770813,0.9557744140623111,0.8495712749525081,0.8935135098547438,0.8630916257125752,0.7773816245367409,0.8630916306538268
1,46,0.1819136306643486,0.15231530070304872,0.9454692244529724,0.9562402343748111,0.8540199079241187,0.8890942640182714,0.863520173005187,0.7785017746082951,0.863520177949311
1,47,0.1713008090853691,0.1504189372062683,0.94978928565979,0.9562998046873109,0.8566764136951939,0.884045276895426,0.8627876813838775,0.777721119328921,0.862787686330915
1,48,0.17024369835853576,0.15125774443149567,0.9505148708820343,0.9563261718748108,0.8525010736121088,0.8923149840683838,0.8643639377228953,0.7794997501948414,0.8643639426671007
1,49,0.16747838631272316,0.15080429315567018,0.9512809872627258,0.9562763671873111,0.8501226292776859,0.8968036904273936,0.8649991667660537,0.7802198739983653,0.8649991717077473
1,50,0.16980425715446473,0.14955937564373017,0.9488266408443451,0.956527343749811,0.8486845277853491,0.9008922781892972,0.8661536401110935,0.7820384260463205,0.8661536450517461
1,51,0.16898735389113426,0.1487118273973465,0.9498847484588623,0.956237304687311,0.8499327423243499,0.8959276439023973,0.8647203370242362,0.7797405309672389,0.8647203419675051
1,52,0.16673363819718362,0.14876640141010283,0.9500680863857269,0.956235351562311,0.8462200957904192,0.9020952826807109,0.8655409726277407,0.7808944685543185,0.8655409775685228
1,53,0.1614876687526703,0.14694465696811676,0.952734112739563,0.9567363281248108,0.8493354978237738,0.9004822632093183,0.8666179096029591,0.7828794413457022,0.8666179145458095
1,54,0.1628236435353756,0.14714781641960145,0.9513315260410309,0.956500976562311,0.8483842748038809,0.901160080341996,0.8662434652282576,0.7822807313287584,0.8662434701695333
1,55,0.15928133502602576,0.14311515986919404,0.9523056387901306,0.9573974609373108,0.8521499339463436,0.8997032045486436,0.8680130260910197,0.7855106640750277,0.8680130310362396
1,56,0.16043771728873252,0.14373429119586945,0.9514557898044587,0.9574462890623108,0.8502023419145452,0.9041915886964181,0.868958003827548,0.786550078660574,0.8689580087708961
1,57,0.15721246525645255,0.1445431739091873,0.9540458738803863,0.9571416015623108,0.8484282479196662,0.906332389376531,0.8688194174952117,0.7858453988285993,0.8688194224365684
1,58,0.15877588242292404,0.14187969267368317,0.9527453422546387,0.9572919921873109,0.8533095981048965,0.8969125245099685,0.8674609205607967,0.7847526629471383,0.8674609255076979
1,59,0.1566169798374176,0.1405690222978592,0.9535019338130951,0.957279296874811,0.8513981181490802,0.8993705561950492,0.8676637197217535,0.7850667435192941,0.8676637246682379
1,60,0.15726100653409958,0.1401353508234024,0.9527074933052063,0.9571660156248107,0.8502770784352672,0.9005977189198262,0.8674851674727199,0.7846766101475837,0.8674851724177323
1,61,0.15458852350711821,0.14072295129299164,0.9535260915756225,0.9572480468748109,0.8490658108514726,0.9038073277691797,0.8683686223840029,0.7858165035212882,0.868368627328446
1,62,0.1555003874003887,0.13943517506122588,0.9519540786743164,0.9568212890623111,0.8535651567140262,0.8880173165972807,0.864306621949344,0.7805143454442004,0.8643066269035755
1,63,0.15533809810876847,0.13928568065166474,0.9521706342697144,0.9573007812498107,0.8483381540750767,0.9057804909476994,0.8688686754346904,0.7860659674304966,0.8688686803784055
1,64,0.15037675350904464,0.13856867849826812,0.9541393756866455,0.9572529296873109,0.8522311471614922,0.8987181130004499,0.8676637265611717,0.784780416651597,0.8676637315071501
1,65,0.1535998709499836,0.13753482103347778,0.9531833350658416,0.9577099609373109,0.8510939540391457,0.9052918439432134,0.8699337326843637,0.788126356344232,0.869933737627651
1,66,0.1520926646888256,0.1368120163679123,0.9524601876735688,0.9578193359373106,0.8524409095892193,0.9037916008505287,0.8699728770314215,0.7882431758921296,0.869972881975542
1,67,0.15004371330142022,0.13548242151737214,0.9541386544704438,0.9577646484373106,0.8530815059788437,0.9023562133146557,0.8696778646020299,0.787824067245656,0.8696778695467056
1,68,0.15324431285262108,0.13706687092781067,0.952249002456665,0.9575624999998108,0.8458444099300335,0.9139905942616875,0.8709001894631435,0.7892415430585084,0.8709001944018108
1,69,0.15111589282751084,0.13512106835842133,0.9533701002597809,0.9575351562498108,0.8542659992766344,0.8980212280018113,0.868476999622807,0.7861613582340269,0.8684770045697816
1,70,0.14415231347084045,0.13688622713088988,0.9565012037754059,0.9577099609373109,0.8490099327095182,0.9105512717131952,0.8709522697971089,0.7893163813894267,0.8709522747370743
1,71,0.14466351568698882,0.13655363917350768,0.9551096022129059,0.9576982421873108,0.847892557452676,0.9113677717555368,0.8709900312160269,0.7891661976614148,0.8709900361572055
1,72,0.1396197997033596,0.1347738802433014,0.9568574011325837,0.9580488281248106,0.8487674688686735,0.912020040864165,0.8717933441522411,0.7908384673213952,0.8717933490936668
1,73,0.14079369083046914,0.13323408961296082,0.9573539793491364,0.9580869140623107,0.8514176081193914,0.9061019511919497,0.8709243031293651,0.7898917449103228,0.8709243080755086
