epoch,g_total,g_adv,g_recon,g_fm,g_tv,g_lap,g_ms,g_stats,g_texstats,d_loss,val_l1,val_edge,val_lap,val_stats,val_texstats,val_ssim,val_score
36,10.837753,1.497022,5.741556,0.239657,0.130666,0.215660,8.737556,0.170319,0.074916,1.259733,0.168687,0.354357,0.218337,0.153059,0.047818,0.213964,1.169371
37,10.761202,1.427737,5.752630,0.240761,0.130799,0.214399,8.724617,0.162789,0.068940,1.297715,0.177862,0.358542,0.227372,0.152355,0.049239,0.125328,1.270352
38,10.685807,1.348408,5.734421,0.238043,0.128113,0.210645,8.802258,0.170683,0.069489,1.346193,0.171627,0.351956,0.215760,0.169241,0.050354,0.181917,1.212845
39,10.387551,1.132438,5.705626,0.225449,0.125303,0.204888,8.762925,0.161546,0.066079,1.306077,0.183694,0.342313,0.199831,0.223085,0.051407,0.175555,1.253534
40,10.592083,1.263125,5.742163,0.230108,0.125713,0.203844,8.828699,0.170619,0.068148,1.406309,0.172302,0.336126,0.200195,0.159532,0.063188,0.152048,1.239319
41,10.370905,1.109306,5.704934,0.227325,0.124808,0.204849,8.763439,0.163697,0.068104,1.380900,0.172358,0.376624,0.212432,0.159349,0.062103,0.184303,1.216413
42,10.610605,1.321626,5.733212,0.227568,0.124984,0.204025,8.742784,0.167551,0.069992,1.396131,0.183029,0.350584,0.208004,0.209321,0.056836,0.186444,1.241371
43,10.105437,0.800381,5.709916,0.216108,0.125319,0.201714,8.945198,0.169250,0.067342,1.468760,0.164266,0.346025,0.197314,0.178572,0.053041,0.194345,1.194073
44,10.420565,1.095552,5.686719,0.221495,0.122609,0.199892,9.075329,0.168550,0.067557,1.376835,0.179783,0.382901,0.212541,0.181730,0.071134,0.150598,1.274854
45,10.368065,1.116418,5.669580,0.220671,0.125301,0.202280,8.912374,0.162158,0.064230,1.352611,0.156768,0.340978,0.201304,0.146583,0.053178,0.218884,1.146087
46,10.396151,1.070597,5.615280,0.221099,0.124187,0.201830,9.292574,0.166413,0.074006,1.452180,0.177637,0.341197,0.196690,0.191160,0.048788,0.181546,1.223192
47,10.423552,1.193604,5.644861,0.224050,0.121780,0.200291,8.916372,0.161018,0.066100,1.383911,0.170312,0.361370,0.208262,0.160113,0.053108,0.222158,1.168284
48,10.343742,1.053427,5.682342,0.220396,0.125854,0.201907,8.986408,0.161937,0.069003,1.387498,0.191853,0.354124,0.198403,0.241312,0.047212,0.158239,1.287627
49,10.113345,0.856466,5.604748,0.214028,0.124076,0.199043,9.203693,0.159864,0.064547,1.398877,0.168297,0.372439,0.207791,0.149581,0.059563,0.187276,1.201325
50,10.169664,0.927450,5.678187,0.217458,0.124377,0.199652,8.884845,0.161535,0.064127,1.434906,0.165649,0.343449,0.198209,0.147556,0.052319,0.209927,1.163701
51,10.466800,1.211221,5.609563,0.222158,0.122563,0.198199,9.159067,0.157013,0.064406,1.302273,0.174608,0.356622,0.200544,0.195649,0.054660,0.194920,1.215887
52,10.494252,1.248756,5.587500,0.219921,0.124288,0.201287,9.174904,0.156678,0.070296,1.351884,0.190972,0.392272,0.210501,0.200304,0.084305,0.181334,1.273077
53,10.335894,1.150727,5.578740,0.217046,0.122849,0.198425,9.056555,0.152074,0.068260,1.402518,0.165913,0.347719,0.197049,0.185362,0.055501,0.195284,1.199776
54,10.315559,1.055439,5.547719,0.214598,0.124798,0.200110,9.402175,0.157071,0.065710,1.303533,0.184725,0.373368,0.201669,0.198946,0.062193,0.198099,1.231879
55,10.114863,0.917563,5.550543,0.211639,0.121999,0.195511,9.225151,0.154266,0.068294,1.387976,0.175143,0.381649,0.203759,0.177452,0.072329,0.204365,1.212809
56,10.117181,0.889241,5.616771,0.208023,0.120534,0.194079,9.113260,0.161416,0.066348,1.418553,0.194128,0.356128,0.195252,0.241056,0.051696,0.200073,1.250074
