fold,check,warns_on_overlap,overlap_count,example_values
4,image_id_only_overlap_info,False,23,105; 117; 134; 135; 146; 153; 16; 17; 180; 20
4,class_image_id_overlap,True,0,
4,image_path_overlap,True,0,
4,derived_class_image_group_overlap,True,0,
