epoch,g_total,g_adv,g_recon,g_fm,g_tv,d_loss,val_l1,val_edge,val_ssim,val_score
61,7.404268,1.521941,4.987568,0.221280,0.120504,1.034529,0.183266,0.346924,0.177837,1.126852
62,7.181170,1.296782,5.006733,0.216967,0.122351,1.266040,0.200457,0.373468,0.173673,1.157498
63,7.176919,1.344846,4.946711,0.218928,0.120640,0.986962,0.188234,0.370464,0.183539,1.134357
64,7.269943,1.417898,4.971439,0.217780,0.118578,1.061223,0.178085,0.340233,0.173112,1.124054
65,7.299443,1.378237,5.034544,0.219243,0.121120,0.992982,0.244250,0.364491,0.189263,1.182559
66,7.146935,1.318334,4.960169,0.214720,0.119393,1.152021,0.178461,0.365539,0.172904,1.133496
67,7.223886,1.463331,4.877022,0.218502,0.119035,0.997246,0.183212,0.349080,0.141027,1.164364
68,7.219958,1.380626,4.952619,0.219241,0.121879,0.986180,0.177046,0.370288,0.168899,1.137748
69,7.065784,1.290173,4.919045,0.211689,0.122623,1.077878,0.174749,0.345353,0.189272,1.106350
70,7.418688,1.483184,5.040052,0.221328,0.126737,0.977821,0.199078,0.365906,0.149667,1.177478
71,7.369675,1.600514,4.878373,0.220252,0.122226,1.023932,0.192118,0.345231,0.171520,1.141429
72,7.242053,1.392267,4.982644,0.214307,0.123921,1.007153,0.191828,0.372296,0.181694,1.140438
73,7.377445,1.638808,4.841568,0.221815,0.122635,0.922171,0.174031,0.355322,0.153738,1.144655
74,7.441916,1.662960,4.900264,0.217245,0.121410,0.887321,0.180902,0.365522,0.150508,1.158326
75,7.229149,1.388808,4.987726,0.210663,0.124569,1.318276,0.191696,0.354504,0.184654,1.131118
76,7.231063,1.523087,4.834765,0.215860,0.122122,0.896118,0.178640,0.356203,0.156760,1.146551
77,7.164720,1.459338,4.849370,0.211588,0.120751,1.010531,0.183409,0.363183,0.191578,1.118945
78,7.186311,1.501473,4.825819,0.212327,0.121378,0.995760,0.211420,0.360765,0.149578,1.188110
79,7.186765,1.337601,5.007362,0.207921,0.126489,1.053926,0.188445,0.346019,0.154590,1.154961
80,7.142731,1.494792,4.791128,0.211726,0.123814,1.046104,0.189402,0.361014,0.191075,1.124682
