,fold,epoch,train_loss,val_loss,train_accuracy,val_accuracy,val_precision,val_recall,val_f1,val_iou,val_dice
best_epoch,1.0,60.0,0.6038324117660523,0.5772609710693359,0.9253222346305847,0.9427626953123136,0.7961166185086634,0.8925797924741666,0.8328455297074306,0.72425330462934,0.8328455346315465
mean,1.0,30.5,0.8157973625262578,0.7795203526814779,0.894609269698461,0.9195737955727349,0.7299504872957407,0.838802813100216,0.767261060646936,0.6397832976173314,0.7672610655235926
median,1.0,30.5,0.7402154922485351,0.6995319128036499,0.9141365766525269,0.9348129882810653,0.7782279887230187,0.8626915328673138,0.8037388013743918,0.681913446196813,0.8037388063031066
