epoch,g_total,g_adv,g_recon,g_fm,g_tv,g_lap,g_ms,d_loss,val_l1,val_edge,val_ssim,val_score
51,10.295443,1.170460,5.725412,0.225444,0.128303,0.211550,9.040012,1.452592,0.177662,0.353453,0.193451,1.107919
52,10.250471,1.165549,5.630303,0.221583,0.126194,0.209544,9.254598,1.243960,0.175063,0.356084,0.190699,1.108993
53,10.557384,1.508220,5.696797,0.232016,0.129803,0.215187,8.830373,1.288894,0.156571,0.344688,0.211764,1.065447
54,9.765642,0.748309,5.614828,0.209690,0.120366,0.195015,9.217845,1.578237,0.177822,0.363451,0.190597,1.114433
55,10.002684,0.913479,5.697515,0.214281,0.121976,0.198821,9.138475,1.644163,0.152130,0.327804,0.240461,1.026400
56,10.040953,0.986709,5.657799,0.217381,0.121725,0.200285,9.131719,1.309337,0.182474,0.362201,0.200938,1.108307
57,10.228312,1.118170,5.740262,0.218368,0.123541,0.199861,9.038840,1.555648,0.159946,0.351505,0.193683,1.089290
58,9.858789,0.847249,5.632342,0.211051,0.122378,0.195590,9.128808,1.564835,0.173996,0.372340,0.190523,1.113793
59,10.028609,1.007646,5.676316,0.218228,0.122303,0.200015,8.955693,1.417942,0.180655,0.360523,0.190524,1.116314
60,10.328609,1.302989,5.590434,0.220700,0.125440,0.204262,9.221279,1.156466,0.175449,0.358712,0.158324,1.142674
61,10.113970,1.110923,5.618630,0.215718,0.124006,0.200654,9.096184,1.591183,0.183448,0.379488,0.162859,1.153409
62,9.855385,0.875947,5.614215,0.207654,0.121866,0.195735,9.098909,1.528438,0.178625,0.386059,0.187184,1.126562
63,10.063116,1.160030,5.586743,0.213214,0.124358,0.201418,8.877689,1.311426,0.178075,0.370239,0.194152,1.113507
64,10.041857,1.058893,5.662800,0.211128,0.124702,0.198907,8.913118,1.471928,0.165734,0.361228,0.176557,1.115607
65,9.911638,0.964075,5.596926,0.205240,0.121928,0.195754,9.062216,1.497349,0.170469,0.363328,0.220342,1.077291
66,9.804117,0.903217,5.557942,0.207451,0.119755,0.194075,9.035767,1.499536,0.178607,0.342659,0.209781,1.088757
67,9.620122,0.720807,5.598244,0.202778,0.122113,0.194194,8.916953,1.586841,0.173481,0.341402,0.200821,1.092150
68,9.815500,0.802394,5.652386,0.207005,0.122357,0.194781,9.091507,1.478918,0.158321,0.332837,0.192044,1.082770
69,9.889428,1.064437,5.552141,0.206340,0.122956,0.197998,8.785347,1.459616,0.167173,0.354190,0.206350,1.084790
70,9.911976,0.936902,5.648170,0.208483,0.123220,0.196580,8.961685,1.393353,0.177797,0.373340,0.159551,1.148915
71,9.558168,0.678664,5.522695,0.196976,0.120542,0.193297,9.137547,1.498929,0.169237,0.342822,0.213517,1.075708
72,9.519971,0.682598,5.512154,0.197118,0.121266,0.194288,9.025974,1.467521,0.163812,0.348985,0.225584,1.060373
73,9.480507,0.664621,5.558634,0.194335,0.122113,0.195263,8.807751,1.483488,0.157082,0.335247,0.248679,1.025740
74,9.523788,0.693292,5.553986,0.197006,0.119827,0.193125,8.871193,1.390302,0.173201,0.355940,0.211959,1.085820
75,9.529079,0.684661,5.590513,0.198017,0.122776,0.195132,8.778292,1.411170,0.184862,0.391880,0.192845,1.129175
76,9.669478,0.804382,5.602128,0.198257,0.121965,0.194346,8.811907,1.356147,0.175417,0.359202,0.207157,1.093980
77,9.688543,0.819956,5.529756,0.196090,0.119768,0.193554,9.081409,1.427935,0.158424,0.334717,0.209415,1.066159
78,9.523050,0.685644,5.521967,0.195297,0.119810,0.193372,9.008282,1.429149,0.152941,0.325538,0.212689,1.054191
79,9.525970,0.732814,5.503742,0.194816,0.121923,0.194770,8.915180,1.302028,0.173124,0.358053,0.207360,1.091083
80,9.544195,0.733064,5.472003,0.192713,0.121048,0.193509,9.098442,1.345267,0.191091,0.374340,0.216552,1.105558
