fold,blend_prob_weight,weighted_blend_prob_weight,train_auc
1,0.54,0.45999999999999996,0.9335989375830013
2,0.4,0.6,0.9362891780517415
3,0.38,0.62,0.9405106970324362
4,0.33,0.6699999999999999,0.9415900863269284
5,0.32,0.6799999999999999,0.9434529914529914
