fold,intercept,model_prob,blend_prob,logreg_prob,hybrid_prob,weighted_blend_prob,average_blend_prob,image_branch_prob,tabular_branch_prob
1,-0.05538858435102389,0.42015634516248906,0.6674094183208491,1.2262294031937875,-0.43020914394544946,0.5182083258508812,0.34199925836458533,0.6803540969861077,-0.8062959650420198
2,-0.10485909649030292,0.3985059565923452,0.5952752360797212,1.0364257384588176,-0.39715298957936773,0.4208136001259088,0.2682714387313339,0.9164735789096429,-0.4983001791562667
3,-0.07526639632776688,0.4333093798602689,0.6253105106410026,1.0580970142214172,-0.25028016630420935,0.49475677925049655,0.35713364607758835,0.7471280461999769,-0.771439652986204
4,-0.1668676126333377,0.4535752084784321,0.5479718129913412,0.7438090702452248,0.02097431626172165,0.4449355021735249,0.36794166829054387,0.620186716900612,-0.375557647168439
5,-0.06170430476261299,0.408959305102531,0.5932214910670539,1.0130557558076805,-0.2676650992293412,0.46048663612828583,0.3239920042752276,0.7801157018269316,-0.44921947784688515
